,,,
,,称号名,獲得条件
1,1ページ目,,
2,,新入生,デフォルト称号
3,,,
4,,,
5,,I♥ラブライブ,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,2ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,3ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,4ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,5ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,6ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,7ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,8ページ目,デビューシングル,『僕らのLIVE 君とのLIFE』を3回プレイ
2,,スクールアイドル,『僕らのLIVE 君とのLIFE』を25回プレイ
3,,1期第8話で流れたよ！,『僕らのLIVE 君とのLIFE』を75回プレイ
4,,前にぐんぐん！,『僕らのLIVE 君とのLIFE』を150回プレイ
5,,ここから始まる,『僕らのLIVE 君とのLIFE』を250回プレイ
6,,明日ってまぶしい！,『僕らのLIVE 君とのLIFE』を400回プレイ
7,,理屈じゃない気持ち！,『僕らのLIVE 君とのLIFE』を750回プレイ
8,,完敗からのスタート、か,『僕らのLIVE 君とのLIFE』を1000回プレイ
9,,2ndシングル,『Snow halation』を3回プレイ
10,,2期第9話で流れたよ！,『Snow halation』を25回プレイ
11,,第1回総選挙の結果は？,『Snow halation』を75回プレイ
12,,雪の中で,『Snow halation』を150回プレイ
13,,季節のときめき,『Snow halation』を250回プレイ
14,,切なさ命名,『Snow halation』を400回プレイ
15,,ためらわない勇気！,『Snow halation』を750回プレイ
1,9ページ目,投票してくれてありがと,『Snow halation』を1000回プレイ
2,,3rdシングル,"『夏色えがおで1,2,Jump!』を3回プレイ"
3,,レインボーブリッジ,"『夏色えがおで1,2,Jump!』を25回プレイ"
4,,第2回総選挙の結果は？,"『夏色えがおで1,2,Jump!』を75回プレイ"
5,,眩しい日差し！,"『夏色えがおで1,2,Jump!』を150回プレイ"
6,,ふわふわな雲の上,"『夏色えがおで1,2,Jump!』を250回プレイ"
7,,夏の翼で飛び出そう,"『夏色えがおで1,2,Jump!』を400回プレイ"
8,,一緒にジャンプ！,"『夏色えがおで1,2,Jump!』を750回プレイ"
9,,投票してくれて感謝よ！,"『夏色えがおで1,2,Jump!』を1000回プレイ"
10,,4thシングル,『もぎゅっと”love”で接近中！』を3回プレイ
11,,バレンタイン意識,『もぎゅっと”love”で接近中！』を25回プレイ
12,,第3回総選挙の結果は？,『もぎゅっと”love”で接近中！』を75回プレイ
13,,わたし、可愛い？,『もぎゅっと”love”で接近中！』を150回プレイ
14,,アドベンチャーなタイム,『もぎゅっと”love”で接近中！』を250回プレイ
15,,近距離ラブ型！,『もぎゅっと”love”で接近中！』を400回プレイ
1,10ページ目,ピュアジャスティス,『もぎゅっと”love”で接近中！』を750回プレイ
2,,ラヴなラッピング,『もぎゅっと”love”で接近中！』を1000回プレイ
3,,5thシングル,『Wonderful Rush』を3回プレイ
4,,忘れもの注意,『Wonderful Rush』を25回プレイ
5,,第4回総選挙の結果は？,『Wonderful Rush』を75回プレイ
6,,Dan Dan！！,『Wonderful Rush』を150回プレイ
7,,一生懸命だ！,『Wonderful Rush』を250回プレイ
8,,幸せラッシュ,『Wonderful Rush』を400回プレイ
9,,未来へのエアポート,『Wonderful Rush』を750回プレイ
10,,みんなぁ 投票ありがと,『Wonderful Rush』を1000回プレイ
11,,6thシングル,『Music S.T.A.R.T!!』を3回プレイ
12,,音ノ木坂学院通学セット,『Music S.T.A.R.T!!』を25回プレイ
13,,第5回総選挙の結果は？,『Music S.T.A.R.T!!』を75回プレイ
14,,Let's go！,『Music S.T.A.R.T!!』を150回プレイ
15,,パーティースタート！,『Music S.T.A.R.T!!』を250回プレイ
1,11ページ目,笑顔ミラクル！,『Music S.T.A.R.T!!』を400回プレイ
2,,無敵な気分！,『Music S.T.A.R.T!!』を750回プレイ
3,,ありがと･･･何でもないわ,『Music S.T.A.R.T!!』を1000回プレイ
4,,今しかない,『僕らは今のなかで』を3回プレイ
5,,2期第12話で流れたよ！,『僕らは今のなかで』を25回プレイ
6,,1期オープニング曲だよ！,『僕らは今のなかで』を75回プレイ
7,,ここから頂点へ！,『僕らは今のなかで』を150回プレイ
8,,好きな事いっぱいしよう,『僕らは今のなかで』を250回プレイ
9,,今を駆け抜けようっ,『僕らは今のなかで』を400回プレイ
10,,ラブライブアンコール,『僕らは今のなかで』を750回プレイ
11,,縁の下のヒフミトリオ,『僕らは今のなかで』を1000回プレイ
12,,きっと、隣は君,『きっと青春が聞こえる』を3回プレイ
13,,8つのバリエーション,『きっと青春が聞こえる』を25回プレイ
14,,1期エンディング曲ですね,『きっと青春が聞こえる』を75回プレイ
15,,音楽室での合唱,『きっと青春が聞こえる』を150回プレイ
1,12ページ目,マラカス振るにゃー,『きっと青春が聞こえる』を250回プレイ
2,,毎日笑顔で大丈夫,『きっと青春が聞こえる』を400回プレイ
3,,青春☆瞬間☆快感,『きっと青春が聞こえる』を750回プレイ
4,,初めてのトップテン入り,『きっと青春が聞こえる』を1000回プレイ
5,,大きな翼,『僕たちはひとつの光』を3回プレイ
6,,秘密のノート,『僕たちはひとつの光』を25回プレイ
7,,劇場版 主題歌,『僕たちはひとつの光』を75回プレイ
8,,花びらの中につつまれて,『僕たちはひとつの光』を150回プレイ
9,,ほのかな希望の星空,『僕たちはひとつの光』を250回プレイ
10,,笑顔で花咲く小鳥たち,『僕たちはひとつの光』を400回プレイ
11,,巻き戻せない描いた夢の海,『僕たちはひとつの光』を750回プレイ
12,,私たちの旅立ち,『僕たちはひとつの光』を1000回プレイ
13,,海外ライブ！,『Angelic Angel』を3回プレイ
14,,間違えたメモ,『Angelic Angel』を25回プレイ
15,,劇場版で歌った曲よ,『Angelic Angel』を75回プレイ
1,13ページ目,金の扇子の奇跡,『Angelic Angel』を150回プレイ
2,,最高のパフォーマンス,『Angelic Angel』を250回プレイ
3,,マイク･･･忘れた！？,『Angelic Angel』を400回プレイ
4,,恋に飯と書いて恋飯！,『Angelic Angel』を750回プレイ
5,,とってもステキなお姉さん,『Angelic Angel』を1000回プレイ
6,,歩行者天国,『SUNNY DAY SONG』を3回プレイ
7,,愛弗,『SUNNY DAY SONG』を25回プレイ
8,,劇場版で流れた曲だよ！,『SUNNY DAY SONG』を75回プレイ
9,,A-RISEも一緒に,『SUNNY DAY SONG』を150回プレイ
10,,スクールアイドルのため！,『SUNNY DAY SONG』を250回プレイ
11,,みんなで作るアイドル！,『SUNNY DAY SONG』を400回プレイ
12,,それってとってもすごい！,『SUNNY DAY SONG』を750回プレイ
13,,スクールアイドル愛！,『SUNNY DAY SONG』を1000回プレイ
14,,皆の勇気で、叶えよう、夢,『それは僕たちの奇跡』を3回プレイ
15,,体育館をデコレーション,『それは僕たちの奇跡』を25回プレイ
1,14ページ目,2期オープニング曲だよ！,『それは僕たちの奇跡』を75回プレイ
2,,まだまだ続くよ！,『それは僕たちの奇跡』を150回プレイ
3,,手を回そう！,『それは僕たちの奇跡』を250回プレイ
4,,負けない心,『それは僕たちの奇跡』を400回プレイ
5,,みんなの勇気,『それは僕たちの奇跡』を750回プレイ
6,,2014夢を叶えた大舞台,『それは僕たちの奇跡』を1000回プレイ
7,,屋上練習頑張ろう,『どんなときもずっと』を3回プレイ
8,,羽を掴むのは？,『どんなときもずっと』を25回プレイ
9,,2期エンディング曲ですね,『どんなときもずっと』を75回プレイ
10,,神田明神の階段で休憩♪,『どんなときもずっと』を150回プレイ
11,,マラカスは譲れないにゃー,『どんなときもずっと』を250回プレイ
12,,ゆっくりペース,『どんなときもずっと』を400回プレイ
13,,その後は全力！,『どんなときもずっと』を750回プレイ
14,,水で描いた「μ's」,『どんなときもずっと』を1000回プレイ
15,,6thシングルCP,『LOVELESS WORLD』を3回プレイ
1,15ページ目,爆発音の始まり,『LOVELESS WORLD』を25回プレイ
2,,オープンザドアー,『LOVELESS WORLD』を75回プレイ
3,,運命になんか弄ばれない,『LOVELESS WORLD』を150回プレイ
4,,消えない炎,『LOVELESS WORLD』を250回プレイ
5,,ディスティニー,『LOVELESS WORLD』を400回プレイ
6,,メモリーズ,『LOVELESS WORLD』を750回プレイ
7,,おしおき うっひっひっひ,『LOVELESS WORLD』を1000回プレイ
8,,2ndシングルCP,『baby maybe 恋のボタン』を3回プレイ
9,,ベイビー！,『baby maybe 恋のボタン』を25回プレイ
10,,メイビー！,『baby maybe 恋のボタン』を75回プレイ
11,,恋のボタン,『baby maybe 恋のボタン』を150回プレイ
12,,近くの吐息,『baby maybe 恋のボタン』を250回プレイ
13,,途切れた会話,『baby maybe 恋のボタン』を400回プレイ
14,,ボタンをぽちり,『baby maybe 恋のボタン』を750回プレイ
15,,隠れた人気とは言わせない,『baby maybe 恋のボタン』を1000回プレイ
1,16ページ目,3rdシングルCP,『Mermaid festa vol.1』を3回プレイ
2,,夕暮れでの黄昏,『Mermaid festa vol.1』を25回プレイ
3,,続きがあるわよ,『Mermaid festa vol.1』を75回プレイ
4,,マーメイド,『Mermaid festa vol.1』を150回プレイ
5,,夏フェス,『Mermaid festa vol.1』を250回プレイ
6,,月の光と海の光,『Mermaid festa vol.1』を400回プレイ
7,,さよなら,『Mermaid festa vol.1』を750回プレイ
8,,情熱のローレライ伝説,『Mermaid festa vol.1』を1000回プレイ
9,,和風,『輝夜の城で踊りたい』を3回プレイ
10,,着物大好き,『輝夜の城で踊りたい』を25回プレイ
11,,センスがある扇子,『輝夜の城で踊りたい』を75回プレイ
12,,輝夜の城,『輝夜の城で踊りたい』を150回プレイ
13,,白月騎士,『輝夜の城で踊りたい』を250回プレイ
14,,黒月騎士,『輝夜の城で踊りたい』を400回プレイ
15,,紅薔薇姫,『輝夜の城で踊りたい』を750回プレイ
1,17ページ目,いいの？,『輝夜の城で踊りたい』を1000回プレイ
2,,ポンポンを振ろう♪,『タカラモノズ』を3回プレイ
3,,こっそりピース,『タカラモノズ』を25回プレイ
4,,スクフェスコラボシングル,『タカラモノズ』を75回プレイ
5,,トレインー♪,『タカラモノズ』を150回プレイ
6,,さぁ、レッツゴー♪,『タカラモノズ』を250回プレイ
7,,あふれる笑顔,『タカラモノズ』を400回プレイ
8,,みんなの夢,『タカラモノズ』を750回プレイ
9,,100万人突破記念,『タカラモノズ』を1000回プレイ
10,,ミニユニットなのよ,『ラブノベルス』を3回プレイ
11,,ミニユニットでしょ,『ラブノベルス』を25回プレイ
12,,ミニユニットだわ,『ラブノベルス』を75回プレイ
13,,天才的にぶさ,『ラブノベルス』を150回プレイ
14,,あれっ？,『ラブノベルス』を250回プレイ
15,,りょうかい！,『ラブノベルス』を400回プレイ
1,18ページ目,ねばーぎぶあっぷ,『ラブノベルス』を750回プレイ
2,,華やかモデル系ユニット,『ラブノベルス』を1000回プレイ
3,,ミニユニットやん,『知らないLove*教えてLove』を3回プレイ
4,,ミニユニットだにゃー,『知らないLove*教えてLove』を25回プレイ
5,,ミニユニットです！,『知らないLove*教えてLove』を75回プレイ
6,,風が吹く時,『知らないLove*教えてLove』を150回プレイ
7,,数えた足音,『知らないLove*教えてLove』を250回プレイ
8,,泣きたくなる胸騒ぎ,『知らないLove*教えてLove』を400回プレイ
9,,未熟でCRY,『知らないLove*教えてLove』を750回プレイ
10,,天然＆元気系ユニット,『知らないLove*教えてLove』を1000回プレイ
11,,ミニユニットだね〜,『sweet&sweet holiday』を3回プレイ
12,,ミニユニットだよ〜,『sweet&sweet holiday』を25回プレイ
13,,ミニユニットだもん,『sweet&sweet holiday』を75回プレイ
14,,甘い甘い休日,『sweet&sweet holiday』を150回プレイ
15,,チョコレート！,『sweet&sweet holiday』を250回プレイ
1,19ページ目,カラフルマカロン！,『sweet&sweet holiday』を400回プレイ
2,,ナンだナンだか,『sweet&sweet holiday』を750回プレイ
3,,王道乙女系ユニット,『sweet&sweet holiday』を1000回プレイ
4,,凛ちゃん歌おうよ！,『Mermaid festa vol.2 〜Passionate〜』を3回プレイ
5,,デュエットだって！,『Mermaid festa vol.2 〜Passionate〜』を25回プレイ
6,,デュエットだにゃー！,『Mermaid festa vol.2 〜Passionate〜』を75回プレイ
7,,全快ジャンプ！,『Mermaid festa vol.2 〜Passionate〜』を150回プレイ
8,,フルーツいっぱい！,『Mermaid festa vol.2 〜Passionate〜』を250回プレイ
9,,フルーツ食らっと！,『Mermaid festa vol.2 〜Passionate〜』を400回プレイ
10,,フルーツ収穫祭,『Mermaid festa vol.2 〜Passionate〜』を750回プレイ
11,,穂乃果ちゃん歌うにゃ！,『Mermaid festa vol.2 〜Passionate〜』を1000回プレイ
12,,希！歌うわよー！,『乙女式れんあい塾』を3回プレイ
13,,デュエットなのよ！,『乙女式れんあい塾』を25回プレイ
14,,デュエットやーん,『乙女式れんあい塾』を75回プレイ
15,,乙女式はどんな式,『乙女式れんあい塾』を150回プレイ
1,20ページ目,乙女のじょーだん,『乙女式れんあい塾』を250回プレイ
2,,キミのシンケン,『乙女式れんあい塾』を400回プレイ
3,,じょーだんとシンケン,『乙女式れんあい塾』を750回プレイ
4,,にこっち歌うかねー,『乙女式れんあい塾』を1000回プレイ
5,,花陽ちゃん、歌おっか,『告白日和、です！』を3回プレイ
6,,デュエットだよ～,『告白日和、です！』を25回プレイ
7,,デュエットなんです,『告白日和、です！』を75回プレイ
8,,告白日和,『告白日和、です！』を150回プレイ
9,,ときめきダンス,『告白日和、です！』を250回プレイ
10,,ひとつだけ質問,『告白日和、です！』を400回プレイ
11,,私から大好き！,『告白日和、です！』を750回プレイ
12,,ことりちゃん歌いましょー,『告白日和、です！』を1000回プレイ
13,,トリオ曲っていうの,『soldier game』を3回プレイ
14,,トリオ曲ですね,『soldier game』を25回プレイ
15,,トリオ曲よね,『soldier game』を75回プレイ
1,21ページ目,"3,2,1,0！！",『soldier game』を150回プレイ
2,,LOVEカウントダウン,『soldier game』を250回プレイ
3,,意識高く生きましょう,『soldier game』を400回プレイ
4,,君には負けないから,『soldier game』を750回プレイ
5,,クール＆ビューティー,『soldier game』を1000回プレイ
6,,2回目のラブライブ予選,『ユメノトビラ』を3回プレイ
7,,予選応募曲,『ユメノトビラ』を25回プレイ
8,,2期第3話で流れたよ！,『ユメノトビラ』を75回プレイ
9,,後世まで語り継がれる,『ユメノトビラ』を150回プレイ
10,,チャンス！,『ユメノトビラ』を250回プレイ
11,,探し続けたきっかけ,『ユメノトビラ』を400回プレイ
12,,予感の流星,『ユメノトビラ』を750回プレイ
13,,希望の行方 幾千の歌,『ユメノトビラ』を1000回プレイ
14,,,
15,,,
1,22ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,へんしーん！,『Love wing bell』を3回プレイ
8,,しゃぁぁぁぁ！！,『Love wing bell』を25回プレイ
9,,2期第5話で流れたにゃ！,『Love wing bell』を75回プレイ
10,,おおきなリボンをつけて,『Love wing bell』を150回プレイ
11,,野生のちんすこう探し,『Love wing bell』を250回プレイ
12,,あこがれの瞬間,『Love wing bell』を400回プレイ
13,,今日も練習！いっくにゃ～,『Love wing bell』を750回プレイ
14,,大成功にゃ（三＞ω＜三）,『Love wing bell』を1000回プレイ
15,,おっはよー！,『WAO-WAO Powerful day!』を3回プレイ
1,23ページ目,おはよぉ～,『WAO-WAO Powerful day!』を25回プレイ
2,,おはようー,『WAO-WAO Powerful day!』を75回プレイ
3,,時間が全然たりないよ,『WAO-WAO Powerful day!』を150回プレイ
4,,レッツゴー！,『WAO-WAO Powerful day!』を250回プレイ
5,,欲張りさん,『WAO-WAO Powerful day!』を400回プレイ
6,,急がばまわってジャンプ！,『WAO-WAO Powerful day!』を750回プレイ
7,,だってぷらんたんだもん,『WAO-WAO Powerful day!』を1000回プレイ
8,,はじまるにゃー？,『春情ロマンティック』を3回プレイ
9,,はじまりです？,『春情ロマンティック』を25回プレイ
10,,はじまるのん？,『春情ロマンティック』を75回プレイ
11,,春の香りに誘われて,『春情ロマンティック』を150回プレイ
12,,ちょっとふいに,『春情ロマンティック』を250回プレイ
13,,ひらひらどきどき,『春情ロマンティック』を400回プレイ
14,,ロマンティック,『春情ロマンティック』を750回プレイ
15,,夢みてりりほわ！,『春情ロマンティック』を1000回プレイ
1,24ページ目,正しなさい！（にこ）,『PSYCHIC FIRE』を3回プレイ
2,,正しなさい！（真姫）,『PSYCHIC FIRE』を25回プレイ
3,,正しなさい！（絵里）,『PSYCHIC FIRE』を75回プレイ
4,,国籍も年齢も分からない,『PSYCHIC FIRE』を150回プレイ
5,,ギャンブラーです！,『PSYCHIC FIRE』を250回プレイ
6,,ジャグラーです！,『PSYCHIC FIRE』を400回プレイ
7,,サイキッカーです！,『PSYCHIC FIRE』を750回プレイ
8,,体はBiBiBiBi！,『PSYCHIC FIRE』を1000回プレイ
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,25ページ目,,
2,,手作りPV,『これからのSomeday』を3回プレイ
3,,リーダーはだれ？,『これからのSomeday』を25回プレイ
4,,1期第6話で流れたよ！,『これからのSomeday』を75回プレイ
5,,地図なんてなくても平気,『これからのSomeday』を150回プレイ
6,,実はSは大文字,『これからのSomeday』を250回プレイ
7,,不思議の国,『これからのSomeday』を400回プレイ
8,,つまずいたら笑って！,『これからのSomeday』を750回プレイ
9,,7人でも頑張るよ！,『これからのSomeday』を1000回プレイ
10,,可能性→,『ススメ→トゥモロウ』を3回プレイ
11,,進めGO→,『ススメ→トゥモロウ』を25回プレイ
12,,1期第1話で流れたよ！,『ススメ→トゥモロウ』を75回プレイ
13,,アネモネ→髪飾り,『ススメ→トゥモロウ』を150回プレイ
14,,薄れゆく希望→,『ススメ→トゥモロウ』を250回プレイ
15,,桜花道を歩こう,『ススメ→トゥモロウ』を400回プレイ
1,26ページ目,無邪気→,『ススメ→トゥモロウ』を750回プレイ
2,,劇中歌→劇中歌,『ススメ→トゥモロウ』を1000回プレイ
3,,そろそろ慣れた？,フィナーレモード5回突入
4,,後でコンビニ行こう,フィナーレモード15回突入
5,,自販機探してます,フィナーレモード25回突入
