,,,
14,,,
15,,,
1,62ページ目,,
2,,,
3,,花陽推し☆初心者,『小泉花陽』のメイン使用回数30回
4,,花陽推し☆初級,『小泉花陽』のメイン使用回数50回
5,,花陽推し☆9級,『小泉花陽』のメイン使用回数110回
6,,花陽推し☆8級,『小泉花陽』のメイン使用回数130回
7,,花陽推し☆7級,『小泉花陽』のメイン使用回数150回
8,,花陽推し☆6級,『小泉花陽』のメイン使用回数280回
9,,花陽推し☆5級,『小泉花陽』のメイン使用回数340回
10,,花陽推し☆4級,『小泉花陽』のメイン使用回数400回
11,,花陽推し☆3級,『小泉花陽』のメイン使用回数500回
12,,花陽推し☆2級,『小泉花陽』のメイン使用回数600回
13,,花陽推し☆準1級,『小泉花陽』のメイン使用回数650回
14,,花陽推し☆1級,『小泉花陽』のメイン使用回数1000回
15,,花陽推し☆準初段,『小泉花陽』のメイン使用回数2100回
1,63ページ目,花陽推し☆初段,『小泉花陽』のメイン使用回数2400回
2,,花陽推し☆2段,『小泉花陽』のメイン使用回数2700回
3,,花陽推し☆3段,『小泉花陽』のメイン使用回数3000回
4,,花陽推し☆4段,『小泉花陽』のメイン使用回数4000回
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,64ページ目,,
2,,,
3,,にこ推し☆初心者,『矢澤にこ』のメイン使用回数30回
4,,にこ推し☆初級,『矢澤にこ』のメイン使用回数50回
5,,にこ推し☆9級,『矢澤にこ』のメイン使用回数110回
6,,にこ推し☆8級,『矢澤にこ』のメイン使用回数130回
7,,にこ推し☆7級,『矢澤にこ』のメイン使用回数150回
8,,にこ推し☆6級,『矢澤にこ』のメイン使用回数280回
9,,にこ推し☆5級,『矢澤にこ』のメイン使用回数340回
10,,にこ推し☆4級,『矢澤にこ』のメイン使用回数400回
11,,にこ推し☆3級,『矢澤にこ』のメイン使用回数500回
12,,にこ推し☆2級,『矢澤にこ』のメイン使用回数600回
13,,にこ推し☆準1級,『矢澤にこ』のメイン使用回数650回
14,,にこ推し☆1級,『矢澤にこ』のメイン使用回数1000回
15,,にこ推し☆準初段,『矢澤にこ』のメイン使用回数2100回
1,65ページ目,にこ推し☆初段,『矢澤にこ』のメイン使用回数2400回
2,,にこ推し☆2段,『矢澤にこ』のメイン使用回数2700回
3,,にこ推し☆3段,『矢澤にこ』のメイン使用回数3000回
4,,にこ推し☆4段,『矢澤にこ』のメイン使用回数4000回
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,66ページ目,,
2,,,
3,,μ's応援部Lv1,μ'sのメンバーを揃えてライブを10回クリア
4,,μ's応援部Lv2,μ'sのメンバーを揃えてライブを50回クリア
5,,μ's応援部Lv3,μ'sのメンバーを揃えてライブを100回クリア
6,,μ's応援部Lv4,μ'sのメンバーを揃えてライブを200回クリア
7,,μ's応援部Lv5,μ'sのメンバーを揃えてライブを300回クリア
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,67ページ目,,
2,,,
3,,,
4,,王道清純派Lv1,Printempsのメンバーを揃えてライブを10回クリア
5,,王道清純派Lv2,Printempsのメンバーを揃えてライブを50回クリア
6,,王道清純派Lv3,Printempsのメンバーを揃えてライブを100回クリア
7,,王道清純派Lv4,Printempsのメンバーを揃えてライブを200回クリア
8,,王道清純派Lv5,Printempsのメンバーを揃えてライブを300回クリア
9,,王道清純派Lv6,Printempsのメンバーを揃えてライブを500回クリア
10,,王道清純派Lv7,Printempsのメンバーを揃えてライブを1000回クリア
11,,王道清純派リーダー,Printempsのメンバーを揃えてライブを3000回クリア
12,,純白元気で天然系Lv1,lily whiteのメンバーを揃えてライブを10回クリア
13,,純白元気で天然系Lv2,lily whiteのメンバーを揃えてライブを50回クリア
14,,純白元気で天然系Lv3,lily whiteのメンバーを揃えてライブを100回クリア
15,,純白元気で天然系Lv4,lily whiteのメンバーを揃えてライブを200回クリア
1,68ページ目,純白元気で天然系Lv5,lily whiteのメンバーを揃えてライブを300回クリア
2,,純白元気で天然系Lv6,lily whiteのメンバーを揃えてライブを500回クリア
3,,純白元気で天然系Lv7,lily whiteのメンバーを揃えてライブを1000回クリア
4,,純白元気で天然系リーダー,lily whiteのメンバーを揃えてライブを3000回クリア
5,,華やかモデル系Lv1,BiBiのメンバーを揃えてライブを10回クリア
6,,華やかモデル系Lv2,BiBiのメンバーを揃えてライブを50回クリア
7,,華やかモデル系Lv3,BiBiのメンバーを揃えてライブを100回クリア
8,,華やかモデル系Lv4,BiBiのメンバーを揃えてライブを200回クリア
9,,華やかモデル系Lv5,BiBiのメンバーを揃えてライブを300回クリア
10,,華やかモデル系Lv6,BiBiのメンバーを揃えてライブを500回クリア
11,,華やかモデル系Lv7,BiBiのメンバーを揃えてライブを1000回クリア
12,,華やかモデル系リーダー,BiBiのメンバーを揃えてライブを3000回クリア
13,,お化粧好き,『高坂穂乃果』のメンバーカードを2種類入手
14,,メイクアップアーティスト,『高坂穂乃果』のメンバーカードを3種類入手
15,,スタイリスト,『高坂穂乃果』のメンバーカードを4種類入手
1,69ページ目,コーディネーター,『高坂穂乃果』のメンバーカードを5種類入手
2,,パタンナー,『高坂穂乃果』のメンバーカードを6種類入手
3,,ファッションデザイナー,『高坂穂乃果』のメンバーカードを7種類入手
4,,お化粧好き,『絢瀬絵里』のメンバーカードを2種類入手
5,,メイクアップアーティスト,『絢瀬絵里』のメンバーカードを3種類入手
6,,スタイリスト,『絢瀬絵里』のメンバーカードを4種類入手
7,,コーディネーター,『絢瀬絵里』のメンバーカードを5種類入手
8,,パタンナー,『絢瀬絵里』のメンバーカードを6種類入手
9,,ファッションデザイナー,『絢瀬絵里』のメンバーカードを7種類入手
10,,お化粧好き,『南ことり』のメンバーカードを2種類入手
11,,メイクアップアーティスト,『南ことり』のメンバーカードを3種類入手
12,,スタイリスト,『南ことり』のメンバーカードを4種類入手
13,,コーディネーター,『南ことり』のメンバーカードを5種類入手
14,,パタンナー,『南ことり』のメンバーカードを6種類入手
15,,ファッションデザイナー,『南ことり』のメンバーカードを7種類入手
1,70ページ目,お化粧好き,『園田海未』のメンバーカードを2種類入手
2,,メイクアップアーティスト,『園田海未』のメンバーカードを3種類入手
3,,スタイリスト,『園田海未』のメンバーカードを4種類入手
4,,コーディネーター,『園田海未』のメンバーカードを5種類入手
5,,パタンナー,『園田海未』のメンバーカードを6種類入手
6,,ファッションデザイナー,『園田海未』のメンバーカードを7種類入手
7,,お化粧好き,『星空凛』のメンバーカードを2種類入手
8,,メイクアップアーティスト,『星空凛』のメンバーカードを3種類入手
9,,スタイリスト,『星空凛』のメンバーカードを4種類入手
10,,コーディネーター,『星空凛』のメンバーカードを5種類入手
11,,パタンナー,『星空凛』のメンバーカードを6種類入手
12,,ファッションデザイナー,『星空凛』のメンバーカードを7種類入手
13,,お化粧好き,『西木野真姫』のメンバーカードを2種類入手
14,,メイクアップアーティスト,『西木野真姫』のメンバーカードを3種類入手
15,,スタイリスト,『西木野真姫』のメンバーカードを4種類入手
1,71ページ目,コーディネーター,『西木野真姫』のメンバーカードを5種類入手
2,,パタンナー,『西木野真姫』のメンバーカードを6種類入手
3,,ファッションデザイナー,『西木野真姫』のメンバーカードを7種類入手
4,,お化粧好き,『東條希』のメンバーカードを2種類入手
5,,メイクアップアーティスト,『東條希』のメンバーカードを3種類入手
6,,スタイリスト,『東條希』のメンバーカードを4種類入手
7,,コーディネーター,『東條希』のメンバーカードを5種類入手
8,,パタンナー,『東條希』のメンバーカードを6種類入手
9,,ファッションデザイナー,『東條希』のメンバーカードを7種類入手
10,,お化粧好き,『小泉花陽』のメンバーカードを2種類入手
11,,メイクアップアーティスト,『小泉花陽』のメンバーカードを3種類入手
12,,スタイリスト,『小泉花陽』のメンバーカードを4種類入手
13,,コーディネーター,『小泉花陽』のメンバーカードを5種類入手
14,,パタンナー,『小泉花陽』のメンバーカードを6種類入手
15,,ファッションデザイナー,『小泉花陽』のメンバーカードを7種類入手
1,72ページ目,お化粧好き,『矢澤にこ』のメンバーカードを2種類入手
2,,メイクアップアーティスト,『矢澤にこ』のメンバーカードを3種類入手
3,,スタイリスト,『矢澤にこ』のメンバーカードを4種類入手
4,,コーディネーター,『矢澤にこ』のメンバーカードを5種類入手
5,,パタンナー,『矢澤にこ』のメンバーカードを6種類入手
6,,ファッションデザイナー,『矢澤にこ』のメンバーカードを7種類入手
7,,穂乃果練習中,『高坂穂乃果』のスキルカードを3種類入手
8,,穂乃果特訓中,『高坂穂乃果』のスキルカードを5種類入手
9,,穂乃果猛特訓中,『高坂穂乃果』のスキルカードを7種類入手
10,,,『高坂穂乃果』のスキルカードを8種類入手
11,,絵里練習中,『絢瀬絵里』のスキルカードを3種類入手
12,,絵里特訓中,『絢瀬絵里』のスキルカードを5種類入手
13,,絵里猛特訓中,『絢瀬絵里』のスキルカードを7種類入手
14,,絵里の演出は任せて,『絢瀬絵里』のスキルカードを8種類入手
15,,ことり練習中,『南ことり』のスキルカードを3種類入手
1,73ページ目,ことり特訓中,『南ことり』のスキルカードを5種類入手
2,,ことり猛特訓中,『南ことり』のスキルカードを7種類入手
3,,ことりの演出は任せて,『南ことり』のスキルカードを8種類入手
4,,海未練習中,『園田海未』のスキルカードを3種類入手
5,,海未特訓中,『園田海未』のスキルカードを5種類入手
6,,海未猛特訓中,『園田海未』のスキルカードを7種類入手
7,,海未の演出は任せて,『園田海未』のスキルカードを8種類入手
8,,凛練習中,『星空凛』のスキルカードを3種類入手
9,,凛特訓中,『星空凛』のスキルカードを5種類入手
10,,凛猛特訓中,『星空凛』のスキルカードを7種類入手
11,,凛の演出は任せて,『星空凛』のスキルカードを8種類入手
12,,真姫練習中,『西木野真姫』のスキルカードを3種類入手
13,,真姫特訓中,『西木野真姫』のスキルカードを5種類入手
14,,真姫猛特訓中,『西木野真姫』のスキルカードを7種類入手
15,,,『西木野真姫』のスキルカードを8種類入手
1,74ページ目,希練習中,『東條希』のスキルカードを3種類入手
2,,希特訓中,『東條希』のスキルカードを5種類入手
3,,希猛特訓中,『東條希』のスキルカードを7種類入手
4,,希の演出は任せて,『東條希』のスキルカードを8種類入手
5,,花陽練習中,『小泉花陽』のスキルカードを3種類入手
6,,花陽特訓中,『小泉花陽』のスキルカードを5種類入手
7,,花陽猛特訓中,『小泉花陽』のスキルカードを7種類入手
8,,花陽の演出は任せて,『小泉花陽』のスキルカードを8種類入手
9,,にこ練習中,『矢澤にこ』のスキルカードを3種類入手
10,,にこ特訓中,『矢澤にこ』のスキルカードを5種類入手
11,,にこ猛特訓中,『矢澤にこ』のスキルカードを7種類入手
12,,,『矢澤にこ』のスキルカードを8種類入手
13,,,
14,,トリプルワン,リザルトで111コンボ
15,,トリプルツー,リザルトで222コンボ
1,75ページ目,トリプルスリー,リザルトで333コンボ
2,,トリプルフォー,リザルトで444コンボ
3,,トリプルファイブ,リザルトで555コンボ
4,,トリプルシックス,リザルトで666コンボ
5,,トリプルセブン,リザルトで777コンボ
6,,相性バッチリコンビ,協力プレイ（2人）で全員同じコンボ数でライブクリアする
7,,相性バッチリトリオ,協力プレイ（3人）で全員同じコンボ数でライブクリアする
8,,いつも一緒です♪,2人協力プレイで2人ともフルコンボを達成
9,,幼馴染3人組です,3人協力プレイで3人ともフルコンボを達成
10,,ユニットコンボ2300,協力コンボで2300コンボを達成
11,,,
12,,,
13,,緊張しなくてもへーき！,9枚以上撮影可能で1枚しか撮影しなかった
14,,みんな集まってー！,メンバーガチャを全て引いた
15,,一発必中やね！,ガチャ1回で背景カラーと同色のメンバーのカードを獲得
1,76ページ目,僕らは今のなかで,『僕らは今のなかで』衣装を着て『僕らは今のなかで』をプレイ
2,,それは僕たちの奇跡,『それは僕たちの奇跡』衣装を着て『それは僕たちの奇跡』をプレイ
3,,タカラモノズ,『タカラモノズ』衣装を着て『タカラモノズ』をプレイ
4,,Snow halation,『Snow halation』衣装を着て『Snow halation』をプレイ
5,,これからのSomeday,『これからのSomeday』衣装を着て『これからのSomeday』をプレイ
6,,センターは君だ,μ'sの楽曲でセンターのメンバーを選択してSランク以上でクリア
7,,すごいスコアだ！,『高坂穂乃果』でトータルスコア15万以上
8,,すごいすごいスコアだね！,『高坂穂乃果』でトータルスコア20万以上
9,,最高のスコアを目指そう！,『高坂穂乃果』でトータルスコア25万以上
10,,なかなかのスコアね,『絢瀬絵里』でトータルスコア15万以上
11,,こんなスコア・・・やるわね！,『絢瀬絵里』でトータルスコア20万以上
12,,このスコア！ハラショー！,『絢瀬絵里』でトータルスコア25万以上
13,,スコア高いね～,『南ことり』でトータルスコア15万以上
14,,私じゃ出せないスコアだよ,『南ことり』でトータルスコア20万以上
15,,スコアを忘れちゃダメっ,『南ことり』でトータルスコア25万以上
1,77ページ目,良いスコアと言えます,『園田海未』でトータルスコア15万以上
2,,スコアアタックです！,『園田海未』でトータルスコア20万以上
3,,あなたのスコア撃ち抜くゾ,『園田海未』でトータルスコア25万以上
4,,すっごいスコアだにゃ―,『星空凛』でトータルスコア15万以上
5,,スコア上がるにゃー！,『星空凛』でトータルスコア20万以上
6,,ハイスコア行っくにゃー！,『星空凛』でトータルスコア25万以上
7,,まぁいい感じのスコアね,『西木野真姫』でトータルスコア15万以上
8,,はぁ？なによそのスコア！,『西木野真姫』でトータルスコア20万以上
9,,このスコア意味分かんない,『西木野真姫』でトータルスコア25万以上
10,,スコア高いやん,『東條希』でトータルスコア15万以上
11,,スコアがうちに告げるんや,『東條希』でトータルスコア20万以上
12,,ハイスコアワシワシするよ,『東條希』でトータルスコア25万以上
13,,はわわ、スコアすごいです,『小泉花陽』でトータルスコア15万以上
14,,みんなースコア出したよ！,『小泉花陽』でトータルスコア20万以上
15,,ごはんみたいなスコアです,『小泉花陽』でトータルスコア25万以上
1,78ページ目,ま、まぁまぁのスコアね,『矢澤にこ』でトータルスコア15万以上
2,,ラブにこスコアアタック！,『矢澤にこ』でトータルスコア20万以上
3,,一番のスコアにするわよ！,『矢澤にこ』でトータルスコア25万以上
4,,いつもSランク,1ゲーム常にSランクでクリア
5,,いつもSSランク,1ゲーム常にSSランクでクリア
6,,いつもSSSランク,1ゲーム常にSSSランクでクリア
7,,実力だけでカバーするわ,テクニカルスコアのみでSSSを取る
8,,わたし、頑張ったよ,1ゲーム中の全ての判定を「GREAT」以上でクリア
9,,努力の結果ね,1ゲーム中の全ての判定を「PERFECT」以上でクリア
10,,,
11,,星のかけら,ビジュアルリズムアイコンを合計で200回成功させた
12,,,
13,,星の片割れ,ビジュアルリズムアイコンを合計で750回成功させた
14,,,
15,,キラキラ星,ビジュアルリズムアイコンを合計で1500回成功させた
1,79ページ目,,
2,,流星,ビジュアルリズムアイコンを合計で4000回成功させた
3,,流星群,ビジュアルリズムアイコンを合計で6000回成功させた
4,,満開の星の川,ビジュアルリズムアイコンを合計で8000回成功させた
5,,夜空いっぱいの星たち,ビジュアルリズムアイコンを合計で10000回成功させた
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,スターキャッチャー16,ビジュアルリズムアイコンを1回のライブ中に16回以上成功
13,,スターキャッチャー20,ビジュアルリズムアイコンを1回のライブ中に20回以上成功
14,,スターキャッチャー24,ビジュアルリズムアイコンを1回のライブ中に24回以上成功
15,,将来は大金持ちよ！,レアビジュアルリズムアイコンを成功させた
1,80ページ目,ライブの思い出,ライブ履歴の撮影可能枚数を7枚以上にした
2,,最高のライブの記憶,ライブ履歴の撮影可能枚数を8枚以上にした
3,,伝説のライブのメモリー,ライブ履歴の撮影可能枚数を9枚以上にした
4,,助け合うのは大事だね！,協力プレイで他人が自分のプロフィールカードを使う
5,,うっかりやさんだ！,自分のプロフィールカードを読み込む
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,81ページ目,スクフェスやってます♪,スクフェスと連動
2,,伝説のスクールアイドル(黄),第1回スコアランキングバトル HARD部門TOP50
3,,カリスマスクールアイドル(黄),第1回スコアランキングバトル HARD部門TOP100
4,,実力派スクールアイドル(黄),第1回スコアランキングバトル HARD部門TOP500
5,,注目のスクールアイドル(黄),第1回スコアランキングバトル HARD部門TOP1000
6,,期待のスクールアイドル(黄),第1回スコアランキングバトル HARD部門TOP3000
7,,新人スクールアイドル(黄),第1回スコアランキングバトル HARD部門参加賞
8,,,
9,,伝説のスクールアイドル(赤),第1回スコアランキングバトル EXTREME部門TOP50
10,,カリスマスクールアイドル(赤),第1回スコアランキングバトル EXTREME部門TOP100
11,,実力派スクールアイドル(赤),第1回スコアランキングバトル EXTREME部門TOP500
12,,注目のスクールアイドル(赤),第1回スコアランキングバトル EXTREME部門TOP1000
13,,期待のスクールアイドル(赤),第1回スコアランキングバトル EXTREME部門TOP3000
14,,新人スクールアイドル(赤),第1回スコアランキングバトル EXTREME部門参加賞
15,,,
1,82ページ目,伝説のスクールアイドル(紫),第1回スコアランキングバトル CHALLENGE部門TOP50
2,,カリスマスクールアイドル(紫),第1回スコアランキングバトル CHALLENGE部門TOP100
3,,実力派スクールアイドル(紫),第1回スコアランキングバトル CHALLENGE部門TOP500
4,,注目のスクールアイドル(紫),第1回スコアランキングバトル CHALLENGE部門TOP1000
5,,期待のスクールアイドル(紫),第1回スコアランキングバトル CHALLENGE部門TOP3000
6,,新人スクールアイドル(紫),第1回スコアランキングバトル CHALLENGE部門参加賞
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,83ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,84ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,85ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,86ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,87ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,88ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,89ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,90ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,91ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,92ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,93ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
1,94ページ目,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,